id,Pendapatan Keluarga,Jumlah Tanggungan dalam Keluarga,Pekerjaan Orang Tua/Wali,Pendidikan Orang Tua/Wali,Kepemilikan Aset,Lokasi Tempat Tinggal,Pengeluaran Bulanan Keluarga,Status Kepesertaan Program Bantuan Pemerintah,Riwayat Beasiswa atau Bantuan Pendidikan,Ayah Hidup?,Ibu Hidup?,Status Kepemilikan Tempat Tinggal,Jumlah (Perkiraan Harga Pasar) Kendaraan yang Dimiliki,Daya Listrik (Watt),Luas Tanah Rumah (m2),Luas Bangunan Rumah (m2),NJOP per Meter,Bahan Atap Rumah,Bahan Tembok Rumah,Bahan Lantai Rumah,Rerata Pengeluaran Listrik & Air per Bulan,Total Hutang,Cicilan Hutang per Bulan,Program Studi,Kota,Jalur Masuk,Golongan UKT
104954,Rp 2.000.000 s.d. Rp 3.000.000,2.0,Tidak Bekerja,D4,Milik Sendiri,Kota Semarang,2500000.0,KIS/JKS/BPJS,-,,Hidup,Milik Sendiri,36000000.0,1300.0,147.0,0.0,3969000.0,Genting,Semen dan batu bata,Keramik,120000.0,0.0,0.0,Ekonomi Pembangunan,Kota Semarang,SNBP,3.0
110655,Rp 3.000.000 s.d. Rp 4.000.000,2.0,Wiraswasta,SLTA,Milik Sendiri,Kab. Wonosobo,2000000.0,KIS/JKS/BPJS,-,Hidup,Hidup,Milik Sendiri,175000000.0,450.0,627.0,106.0,27000.0,Seng,Semen Beton,Semen Plester,105000.0,200000000.0,3350000.0,Pendidikan Ilmu Pengetahuan Sosial,Kab. Wonosobo,SNBT,4.0
126807,lebih dari Rp 5.000.000,2.0,Pegawai Swasta,SLTA Sederajat,Milik Sendiri,Kota Depok,3500000.0,KIS/JKS/BPJS,Tidak Dapat,Hidup,Hidup,Milik Sendiri,12000000.0,1300.0,100.0,76.0,3500000.0,Genting tanah liat,Batako,Keramik,600000.0,0.0,0.0,Ilmu Hukum,Kota Depok,SNBT,6.0
80981,lebih dari Rp 5.000.000,4.0,Pegawai Pemerintahan,D4,Milik Sendiri,Kabupaten Garut ,6000000.0,KIS/JKS/BPJS,Tidak,Hidup,Hidup,Milik Sendiri,140000000.0,900.0,190.0,72.0,120000000.0,asbes,Batu Bata,keramik,275000.0,300000000.0,10000000.0,Teknik Elektro,Kabupaten Garut ,SNBT,5.0
77530,"kurang dari Rp 1.000.000,-",2.0,Wiraswasta,SD/MI Sederajat,Milik Sendiri,Kabupaten Kebumen ,2000000.0,KIS/JKS/BPJS,-,Hidup,Hidup,Milik Sendiri,1.0,900.0,292.0,40.0,103000.0,Genteng,semi permanen,Plester,190000.0,10000000.0,500000.0,Pendidikan Teknik Mesin,Kabupaten Kebumen ,SNBP,2.0
107230,lebih dari Rp 5.000.000,1.0,Pegawai Pemerintahan,S-1/D4,Milik Sendiri,Kab. Purbalingga,2000000.0,KIS/JKS/BPJS,Tidak,Hidup,Hidup,Milik Sendiri,6000000.0,900.0,186.0,84.0,174750.0,Seng,Bata Merah,Keramik,142400.0,0.0,0.0,Pendidikan Guru Sekolah Dasar,Kab. Purbalingga,SNBT,6.0
124363,Rp 4.000.000 s.d. Rp 5.000.000,1.0,Buruh,SMA,Menumpang,Kab. Tegal,2400000.0,KIS/JKS/BPJS,-,Hidup,Hidup,Menumpang,1.0,450.0,168.0,98.0,243.0,Genteng,Bata,Keramik,155.0,50000000.0,1600000.0,Pendidikan Guru Sekolah Dasar,Kab. Tegal,SNBP,3.0
148862,Rp 1.000.000 s.d. Rp 2.000.000,2.0,Wiraswasta,SMP,Milik Sendiri,Kab. Magelang,400000.0,KIS/JKS/BPJS,Tidak,Hidup,Hidup,Milik Sendiri,0.0,450.0,64.0,64.0,225000.0,Genteng,Batu Bata,Ubin,55000.0,0.0,0.0,,Kab. Magelang,SNBT,2.0
47179,Rp 3.000.000 s.d. Rp 4.000.000,3.0,Tidak Bekerja,SLTA,Menumpang,Kabupaten Pemalang ,2000000.0,,Tidak Dapat,Hidup,Hidup,Menumpang,0.0,450.0,72.0,72.0,0.0,Asbes,Batu bata,Keramik,55000.0,78000000.0,1300000.0,Akuntansi,Kabupaten Pemalang ,SNBT,3.0
104616,"kurang dari Rp 1.000.000,-",0.0,Buruh,SLTA Sederajat,Milik Sendiri,Kab. Boyolali,300000.0,KIS/JKS/BPJS,Tidak,Hidup,Hidup,Milik Sendiri,8000000.0,450.0,303.0,84.0,160000.0,Genteng,Batu bata,Semen,50000.0,0.0,0.0,Akuntansi,Kab. Boyolali,SNBP,3.0
42243,Rp 2.000.000 s.d. Rp 3.000.000,0.0,Buruh,MTs,Milik Sendiri,Kabupaten Kendal ,2200000.0,,Tidak Dapat,Hidup,Hidup,Milik Sendiri,15000000.0,900.0,160.0,60.0,27000.0,Genting Tanah,bata tanah liat,keramik,135000.0,0.0,0.0,Pendidikan Luar Sekolah,Kabupaten Kendal ,SNBP,3.0
45525,Rp 2.000.000 s.d. Rp 3.000.000,0.0,Pegawai Swasta,SLTA,Milik Sendiri,Kota Depok ,500000.0,,-,Hidup,Hidup,Milik Sendiri,26000000.0,900.0,90.0,72.0,1032000.0,ASBES,PLESTER,KERAMIK,520000.0,0.0,0.0,Ilmu Keolahragaan,Kota Depok ,SNBT,3.0
105504,"kurang dari Rp 1.000.000,-",2.0,Wiraswasta,MA,Milik Sendiri,Kab. Grobogan,1500000.0,KIS/JKS/BPJS,Tidak Dapat,Hidup,Hidup,Milik Sendiri,7000000.0,900.0,25.0,15.0,64000.0,Genting,Semen/beton,Keramik,100000.0,0.0,0.0,Pendidikan Jasmani Sekolah Dasar,Kab. Grobogan,SNBP,4.0
146183,lebih dari Rp 5.000.000,0.0,Pegawai Swasta,D3/D-2,Milik Sendiri,Kab. Cilacap,3000000.0,KIS/JKS/BPJS,-,Hidup,Hidup,Milik Sendiri,30000000.0,900.0,338.0,54.0,614000.0,Genting,Bata Merah,Keramik,450000.0,0.0,0.0,Pendidikan Guru Sekolah Dasar,Kab. Cilacap,SNBP,6.0
67304,Rp 3.000.000 s.d. Rp 4.000.000,1.0,Buruh,MI,Milik Sendiri,Kabupaten Kudus ,2000000.0,KIS/JKS/BPJS,Tidak Ada,Hidup,Meninggal,Milik Sendiri,1.0,450.0,81.0,56.0,9.0,Genting,Batu Bata,Keramik+Tanah,55000.0,10000000.0,600000.0,Pendidikan Fisika,Kabupaten Kudus ,SNBT,3.0
151191,lebih dari Rp 5.000.000,1.0,Buruh,S1/D-4,Menumpang,Kab. Kebumen,3000000.0,KIS/JKS/BPJS,Tidak,Hidup,Hidup,Menumpang,30000000.0,900.0,104.0,72.0,285000.0,Genting,Bata,Keramik,200000.0,10000000.0,500000.0,Seni Rupa,Kab. Kebumen,SNBT,7.0
